AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2020,08,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,60 A MAS AÑOS,PERÚ,1
2023,03,020606,ÁNCASH,CARHUAZ,MARCARA,F,12-17 AÑOS,PERÚ,1
2019,10,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,12-17 AÑOS,PERÚ,2
2023,09,200104,PIURA,PIURA,CASTILLA,F,6-11 AÑOS,PERÚ,1
2024,08,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,M,12-17 AÑOS,PERÚ,1
2025,08,150805,REGIÓN LIMA,HUAURA,HUALMAY,M,18-29 AÑOS,PERÚ,1
2022,12,180302,MOQUEGUA,ILO,EL ALGARROBAL,F,12-17 AÑOS,PERÚ,1
2020,03,021509,ÁNCASH,PALLASCA,PAMPAS,M,30-59 AÑOS,PERÚ,2
2021,08,060401,CAJAMARCA,CHOTA,CHOTA,F,6-11 AÑOS,PERÚ,1
2024,10,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,12-17 AÑOS,PERÚ,15
2021,11,230101,TACNA,TACNA,TACNA,M,30-59 AÑOS,PERÚ,1
2020,07,050102,AYACUCHO,HUAMANGA,ACOCRO,F,18-29 AÑOS,PERÚ,1
2022,07,030417,APURIMAC,AYMARAES,YANACA,F,12-17 AÑOS,PERÚ,1
2024,06,220105,SAN MARTÍN,MOYOBAMBA,SORITOR,M,30-59 AÑOS,PERÚ,2
2020,02,050115,AYACUCHO,HUAMANGA,JESUS NAZARENO,M,60 A MAS AÑOS,PERÚ,1
2024,07,061301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,F,12-17 AÑOS,PERÚ,1
2024,12,040105,AREQUIPA,AREQUIPA,CHARACATO,F,12-17 AÑOS,PERÚ,2
2019,05,160101,LORETO,MAYNAS,IQUITOS,M,6-11 AÑOS,PERÚ,1
2021,12,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,M,60 A MAS AÑOS,PERÚ,1
2019,08,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,M,18-29 AÑOS,PERÚ,2
2019,02,150811,REGIÓN LIMA,HUAURA,SAYAN,M,60 A MAS AÑOS,PERÚ,1
2024,11,080108,CUSCO,CUSCO,WANCHAQ,F,12-17 AÑOS,PERÚ,2
2022,09,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,F,18-29 AÑOS,PERÚ,1
2024,12,150805,REGIÓN LIMA,HUAURA,HUALMAY,F,18-29 AÑOS,PERÚ,1
2025,06,150110,LIMA METROPOLITANA,LIMA,COMAS,F,12-17 AÑOS,PERÚ,14
